true_class,pred_label,score,accepted,group
airplane,airplane,-5.5690126,False,other
bird,bird,-9.451293,True,other
truck,truck,-10.17804,True,other
cat,cat,-8.996855,True,other
cat,cat,-9.422224,True,other
ship,ship,-9.883767,True,other
ship,ship,-10.330374,True,other
automobile,automobile,-8.417397,True,other
automobile,automobile,-9.185235,True,other
horse,horse,-9.682977,True,other
bird,bird,-10.597128,True,other
dog,dog,-8.537414,True,other
bird,bird,-6.5320396,True,other
horse,horse,-5.8040586,True,other
ship,ship,-10.035571,True,other
truck,truck,-9.615399,True,other
airplane,airplane,-8.279019,True,other
cat,cat,-8.707877,True,other
ship,ship,-10.033976,True,other
frog,frog,-9.861744,True,other
deer,deer,-9.719869,True,other
frog,frog,-6.9491553,True,other
frog,frog,-9.280625,True,other
airplane,airplane,-10.230766,True,other
airplane,airplane,-9.275832,True,other
horse,horse,-11.529403,True,other
deer,deer,-9.198658,True,other
dog,dog,-10.298322,True,other
frog,frog,-11.539408,True,other
cat,cat,-9.555792,True,other
automobile,automobile,-10.368647,True,other
automobile,automobile,-9.896423,True,other
cat,cat,-7.216598,True,other
frog,frog,-9.652941,True,other
ship,ship,-9.216335,True,other
horse,horse,-9.0139,True,other
deer,deer,-8.994575,True,other
airplane,airplane,-10.527743,True,other
frog,frog,-8.45178,True,other
bird,bird,-9.904253,True,other
automobile,automobile,-10.335731,True,other
cat,cat,-10.508692,True,other
airplane,airplane,-9.771553,True,other
deer,deer,-9.575373,True,other
bird,bird,-5.222035,False,other
horse,horse,-7.0786896,True,other
ship,ship,-10.657721,True,other
cat,cat,-10.114339,True,other
automobile,automobile,-9.2701645,True,other
bird,bird,-10.008081,True,other
ship,ship,-9.915122,True,other
airplane,bird,-6.105481,True,other
ship,ship,-11.303645,True,other
cat,cat,-10.053836,True,other
dog,cat,-8.254641,True,other
bird,bird,-7.515421,True,other
deer,deer,-8.372857,True,other
automobile,automobile,-9.240137,True,other
ship,ship,-8.055622,True,other
truck,truck,-9.709447,True,other
automobile,automobile,-8.661379,True,other
bird,bird,-8.488314,True,other
truck,truck,-8.858334,True,other
horse,horse,-7.1961546,True,other
bird,bird,-10.221582,True,other
truck,truck,-4.724104,False,other
frog,frog,-8.144341,True,other
dog,dog,-9.218855,True,other
frog,frog,-9.090241,True,other
cat,cat,-10.226524,True,other
ship,ship,-9.543928,True,other
horse,horse,-7.317532,True,other
frog,frog,-8.591736,True,other
bird,frog,-6.2815676,True,other
dog,dog,-8.075916,True,other
bird,bird,-10.052073,True,other
ship,ship,-9.617582,True,other
truck,truck,-9.524647,True,other
frog,frog,-10.373617,True,other
airplane,airplane,-9.300671,True,other
airplane,airplane,-10.379773,True,other
dog,dog,-8.4912615,True,other
bird,bird,-9.185083,True,other
truck,truck,-8.760851,True,other
dog,cat,-7.1644526,True,other
deer,deer,-8.470685,True,other
bird,bird,-9.417089,True,other
automobile,automobile,-8.941446,True,other
frog,frog,-7.9544415,True,other
frog,frog,-8.918503,True,other
ship,airplane,-7.0218186,True,other
deer,deer,-4.6582046,False,other
ship,ship,-9.375593,True,other
deer,deer,-10.466953,True,other
dog,dog,-9.5218315,True,other
airplane,airplane,-5.292187,False,other
truck,truck,-8.029087,True,other
truck,truck,-9.498688,True,other
truck,truck,-10.123115,True,other
ship,ship,-9.529272,True,other
truck,truck,-8.892523,True,other
truck,truck,-9.149883,True,other
cat,cat,-10.340014,True,other
horse,horse,-10.014025,True,other
dog,cat,-7.5730677,True,other
airplane,airplane,-10.300359,True,other
airplane,airplane,-7.934742,True,other
dog,dog,-9.391877,True,other
bird,bird,-10.208429,True,other
bird,bird,-9.412239,True,other
cat,cat,-11.380926,True,other
ship,ship,-9.26123,True,other
frog,frog,-10.332676,True,other
cat,cat,-9.54613,True,other
deer,deer,-3.1758304,False,other
airplane,airplane,-8.077156,True,other
dog,dog,-9.135575,True,other
ship,ship,-7.7946324,True,other
airplane,airplane,-7.866653,True,other
automobile,automobile,-10.361487,True,other
horse,horse,-7.545123,True,other
bird,bird,-5.9427366,True,other
ship,ship,-9.732911,True,other
ship,ship,-6.0216055,True,other
horse,horse,-10.266099,True,other
ship,ship,-10.100714,True,other
dog,dog,-11.21381,True,other
automobile,automobile,-9.427032,True,other
ship,ship,-10.110534,True,other
horse,horse,-7.3778067,True,other
automobile,automobile,-10.093681,True,other
cat,cat,-9.447703,True,other
airplane,airplane,-7.59027,True,other
dog,dog,-11.315684,True,other
horse,horse,-9.824683,True,other
truck,truck,-9.0385,True,other
horse,horse,-9.80583,True,other
deer,deer,-8.262235,True,other
dog,dog,-11.168825,True,other
truck,truck,-7.327466,True,other
ship,ship,-7.9595084,True,other
airplane,airplane,-8.454663,True,other
horse,horse,-9.242833,True,other
truck,truck,-9.723513,True,other
ship,ship,-6.621687,True,other
bird,bird,-8.902876,True,other
horse,horse,-9.111454,True,other
frog,frog,-6.617286,True,other
truck,truck,-8.960688,True,other
deer,deer,-7.609624,True,other
cat,cat,-9.64606,True,other
truck,truck,-10.0390415,True,other
frog,dog,-4.6793776,False,other
deer,deer,-9.582743,True,other
horse,horse,-6.3449144,True,other
frog,frog,-7.460249,True,other
dog,dog,-9.495126,True,other
automobile,automobile,-9.914505,True,other
dog,dog,-9.620996,True,other
ship,ship,-8.169323,True,other
ship,ship,-10.460693,True,other
airplane,airplane,-9.540465,True,other
deer,deer,-8.701483,True,other
airplane,airplane,-6.7377453,True,other
dog,dog,-10.555739,True,other
dog,dog,-12.1079235,True,other
automobile,automobile,-10.285093,True,other
automobile,automobile,-7.387491,True,other
ship,ship,-7.046679,True,other
truck,truck,-9.760935,True,other
airplane,airplane,-10.497373,True,other
cat,cat,-7.4633994,True,other
automobile,automobile,-10.162977,True,other
truck,truck,-7.755705,True,other
bird,bird,-10.905806,True,other
bird,airplane,-6.56558,True,other
dog,dog,-9.291303,True,other
cat,cat,-9.699343,True,other
truck,truck,-9.199266,True,other
truck,truck,-11.479311,True,other
deer,deer,-8.840666,True,other
airplane,airplane,-9.829881,True,other
cat,cat,-9.195199,True,other
airplane,airplane,-10.559095,True,other
airplane,airplane,-6.8711247,True,other
truck,truck,-7.66434,True,other
ship,ship,-10.300667,True,other
automobile,automobile,-8.992966,True,other
dog,dog,-9.240811,True,other
horse,horse,-7.375041,True,other
airplane,ship,-6.4514403,True,other
ship,ship,-7.898809,True,other
bird,bird,-6.8061714,True,other
deer,deer,-9.813617,True,other
horse,horse,-9.6875925,True,other
airplane,airplane,-8.005379,True,other
bird,bird,-10.412481,True,other
cat,dog,-5.997701,True,other
frog,frog,-11.902843,True,other
cat,cat,-10.397359,True,other
ship,ship,-9.446232,True,other
dog,cat,-6.7229114,True,other
airplane,airplane,-10.249662,True,other
cat,cat,-5.638009,False,other
deer,deer,-9.764601,True,other
cat,cat,-9.022509,True,other
truck,truck,-8.433992,True,other
airplane,airplane,-6.8464837,True,other
frog,frog,-10.337332,True,other
automobile,automobile,-8.791204,True,other
airplane,airplane,-6.7691073,True,other
truck,truck,-9.007032,True,other
automobile,automobile,-8.069881,True,other
airplane,ship,-3.9910328,False,other
horse,horse,-7.835762,True,other
truck,truck,-9.459829,True,other
automobile,automobile,-10.49951,True,other
bird,bird,-9.672051,True,other
frog,frog,-8.313382,True,other
truck,automobile,-6.87237,True,other
cat,cat,-9.782946,True,other
deer,deer,-5.286233,False,other
frog,frog,-9.322411,True,other
airplane,airplane,-9.432616,True,other
airplane,airplane,-10.065753,True,other
frog,frog,-10.577269,True,other
frog,frog,-10.121098,True,other
frog,frog,-10.521845,True,other
cat,cat,-9.150951,True,other
bird,bird,-9.964115,True,other
frog,frog,-9.225177,True,other
automobile,automobile,-9.563384,True,other
ship,ship,-6.4191074,True,other
bird,bird,-10.5588665,True,other
automobile,automobile,-6.150481,True,other
frog,frog,-7.718219,True,other
ship,ship,-10.241821,True,other
frog,frog,-9.294794,True,other
ship,airplane,-7.0900598,True,other
airplane,airplane,-6.858113,True,other
deer,deer,-8.432234,True,other
airplane,airplane,-8.980021,True,other
horse,horse,-10.218283,True,other
horse,horse,-10.502106,True,other
dog,dog,-9.63445,True,other
dog,dog,-11.055473,True,other
cat,cat,-9.492149,True,other
dog,dog,-10.292515,True,other
bird,bird,-10.747799,True,other
cat,cat,-8.13354,True,other
deer,deer,-8.785894,True,other
automobile,automobile,-10.467381,True,other
horse,horse,-9.242012,True,other
dog,dog,-9.820535,True,other
deer,deer,-10.022104,True,other
frog,frog,-9.367425,True,other
automobile,automobile,-8.497067,True,other
truck,truck,-9.5076475,True,other
cat,cat,-8.44149,True,other
frog,frog,-9.723909,True,other
frog,frog,-9.304235,True,other
truck,truck,-10.002084,True,other
cat,cat,-9.398856,True,other
ship,ship,-9.202414,True,other
airplane,airplane,-8.154767,True,other
horse,horse,-8.87449,True,other
bird,bird,-8.319843,True,other
frog,frog,-6.757349,True,other
bird,bird,-8.628795,True,other
dog,dog,-8.138137,True,other
ship,ship,-9.305471,True,other
dog,dog,-10.586932,True,other
deer,deer,-10.7852335,True,other
frog,frog,-7.627926,True,other
ship,ship,-9.400871,True,other
truck,truck,-9.29735,True,other
truck,truck,-8.623822,True,other
automobile,automobile,-10.792866,True,other
airplane,airplane,-6.0583386,True,other
bird,bird,-9.568068,True,other
bird,bird,-10.81809,True,other
horse,deer,-3.0097659,False,other
cat,cat,-5.4217463,False,other
bird,bird,-6.4531937,True,other
ship,ship,-9.823896,True,other
airplane,airplane,-8.596244,True,other
truck,truck,-9.42894,True,other
dog,dog,-9.341246,True,other
ship,ship,-9.457394,True,other
automobile,automobile,-9.11092,True,other
truck,truck,-8.945734,True,other
deer,deer,-8.412298,True,other
automobile,automobile,-9.538037,True,other
cat,cat,-9.694701,True,other
ship,ship,-8.034366,True,other
automobile,automobile,-9.780615,True,other
deer,deer,-5.7195606,False,other
horse,horse,-8.754455,True,other
truck,truck,-10.312743,True,other
deer,deer,-8.901995,True,other
bird,bird,-10.747135,True,other
horse,horse,-9.46817,True,other
airplane,airplane,-6.626848,True,other
horse,horse,-7.86226,True,other
airplane,ship,-6.798693,True,other
frog,frog,-9.751097,True,other
frog,frog,-8.996794,True,other
truck,truck,-10.273964,True,other
airplane,airplane,-9.245709,True,other
truck,truck,-10.02196,True,other
bird,dog,-10.680829,True,other
ship,ship,-8.039204,True,other
horse,horse,-9.48674,True,other
bird,bird,-9.809277,True,other
bird,bird,-8.993813,True,other
dog,dog,-8.411393,True,other
automobile,automobile,-9.932186,True,other
bird,bird,-8.935178,True,other
frog,frog,-9.483169,True,other
bird,bird,-9.28946,True,other
truck,truck,-9.066982,True,other
frog,frog,-10.334058,True,other
bird,bird,-6.324257,True,other
cat,cat,-10.994368,True,other
airplane,airplane,-9.343726,True,other
cat,cat,-7.7939653,True,other
truck,truck,-10.329096,True,other
ship,ship,-8.0671625,True,other
horse,horse,-10.54647,True,other
ship,ship,-9.531225,True,other
ship,ship,-9.787061,True,other
deer,cat,-5.730256,True,other
airplane,airplane,-9.508191,True,other
automobile,automobile,-10.0499735,True,other
ship,ship,-10.68956,True,other
bird,bird,-9.054714,True,other
horse,horse,-8.653387,True,other
truck,truck,-8.409912,True,other
cat,dog,-6.9387054,True,other
frog,frog,-7.927236,True,other
automobile,automobile,-9.447066,True,other
truck,truck,-9.976488,True,other
airplane,airplane,-6.452014,True,other
horse,horse,-8.02864,True,other
cat,cat,-8.209596,True,other
horse,horse,-9.030729,True,other
deer,deer,-10.436711,True,other
dog,dog,-8.662466,True,other
airplane,ship,-9.290646,True,other
airplane,airplane,-9.110784,True,other
bird,bird,-10.257263,True,other
truck,truck,-9.802734,True,other
cat,frog,-5.107301,False,other
deer,deer,-10.624754,True,other
airplane,airplane,-6.90206,True,other
frog,frog,-7.7683225,True,other
bird,bird,-10.278009,True,other
dog,dog,-8.959506,True,other
cat,cat,-8.696563,True,other
horse,horse,-6.3262186,True,other
cat,cat,-10.098858,True,other
horse,horse,-8.702922,True,other
bird,bird,-11.58539,True,other
dog,dog,-10.021992,True,other
cat,cat,-10.083346,True,other
automobile,automobile,-5.565245,False,other
automobile,automobile,-9.8158245,True,other
deer,deer,-8.644685,True,other
truck,truck,-9.459982,True,other
truck,truck,-9.072953,True,other
dog,dog,-10.316731,True,other
horse,horse,-11.482801,True,other
dog,dog,-9.863992,True,other
airplane,airplane,-7.1649,True,other
bird,bird,-10.360748,True,other
bird,bird,-9.596596,True,other
bird,bird,-9.50425,True,other
truck,truck,-11.45714,True,other
horse,horse,-8.92213,True,other
cat,cat,-9.73431,True,other
truck,truck,-8.7940235,True,other
deer,deer,-9.615627,True,other
cat,deer,-6.4684477,True,other
dog,dog,-7.6733003,True,other
deer,deer,-7.0890846,True,other
frog,frog,-6.5867105,True,other
dog,dog,-8.178751,True,other
frog,frog,-9.573076,True,other
automobile,automobile,-10.685968,True,other
deer,deer,-7.450491,True,other
cat,cat,-9.520858,True,other
deer,deer,-10.6075325,True,other
deer,deer,-9.834559,True,other
cat,cat,-10.09142,True,other
horse,horse,-9.620955,True,other
ship,ship,-10.041296,True,other
cat,dog,-6.0590897,True,other
horse,horse,-8.00763,True,other
ship,ship,-9.492718,True,other
airplane,airplane,-7.5340905,True,other
dog,dog,-8.633342,True,other
horse,horse,-9.499304,True,other
frog,frog,-8.409327,True,other
airplane,airplane,-9.646256,True,other
dog,cat,-7.5646806,True,other
deer,deer,-8.18511,True,other
ship,ship,-7.7409987,True,other
frog,frog,-7.55706,True,other
ship,ship,-8.806978,True,other
dog,dog,-6.11279,True,other
dog,dog,-9.46419,True,other
truck,truck,-6.192686,True,other
truck,truck,-8.938543,True,other
truck,truck,-9.300533,True,other
dog,dog,-11.15227,True,other
airplane,airplane,-7.539046,True,other
automobile,automobile,-9.226986,True,other
airplane,airplane,-8.888378,True,other
ship,ship,-9.193489,True,other
automobile,automobile,-9.036764,True,other
automobile,automobile,-9.254175,True,other
ship,ship,-10.274088,True,other
airplane,airplane,-6.8643866,True,other
bird,bird,-6.085648,True,other
bird,bird,-8.43224,True,other
airplane,airplane,-9.882701,True,other
deer,deer,-9.912778,True,other
frog,frog,-9.112208,True,other
dog,dog,-10.594205,True,other
deer,deer,-8.54347,True,other
truck,truck,-9.052604,True,other
deer,deer,-8.818693,True,other
horse,horse,-9.381428,True,other
truck,truck,-9.351379,True,other
truck,truck,-8.983301,True,other
deer,deer,-9.871962,True,other
dog,dog,-8.860845,True,other
frog,frog,-9.23019,True,other
frog,frog,-9.245473,True,other
automobile,automobile,-10.46719,True,other
dog,dog,-9.107624,True,other
cat,cat,-10.406465,True,other
ship,ship,-10.169103,True,other
truck,truck,-10.057167,True,other
dog,dog,-9.564321,True,other
ship,ship,-8.15266,True,other
dog,dog,-9.200723,True,other
horse,horse,-8.689677,True,other
airplane,airplane,-10.89495,True,other
horse,horse,-10.555101,True,other
airplane,airplane,-9.609018,True,other
dog,dog,-8.776807,True,other
airplane,airplane,-8.824985,True,other
airplane,airplane,-9.810057,True,other
deer,deer,-8.537903,True,other
frog,frog,-9.545132,True,other
truck,truck,-9.816412,True,other
airplane,airplane,-3.2359624,False,other
truck,truck,-8.451416,True,other
dog,dog,-8.6317835,True,other
frog,frog,-9.39883,True,other
frog,frog,-10.776399,True,other
frog,frog,-8.610289,True,other
bird,bird,-7.5095925,True,other
truck,truck,-9.15168,True,other
airplane,airplane,-9.708659,True,other
automobile,automobile,-8.690321,True,other
horse,horse,-9.045991,True,other
frog,frog,-8.127365,True,other
horse,horse,-9.000736,True,other
dog,dog,-8.6842375,True,other
truck,truck,-9.401795,True,other
automobile,automobile,-9.224911,True,other
frog,frog,-10.743263,True,other
bird,bird,-8.734758,True,other
dog,dog,-9.296011,True,other
dog,dog,-8.705691,True,other
dog,dog,-6.0661855,True,other
ship,ship,-9.528651,True,other
dog,dog,-11.494346,True,other
truck,truck,-10.010042,True,other
deer,deer,-9.071661,True,other
frog,frog,-9.34804,True,other
deer,deer,-8.133812,True,other
cat,cat,-9.703006,True,other
bird,bird,-8.753513,True,other
airplane,airplane,-8.933122,True,other
horse,horse,-9.579616,True,other
frog,cat,-8.792099,True,other
bird,bird,-9.223546,True,other
bird,bird,-9.384581,True,other
cat,cat,-9.89173,True,other
truck,truck,-10.365591,True,other
horse,horse,-7.6915426,True,other
truck,truck,-8.82876,True,other
bird,bird,-8.344452,True,other
frog,frog,-9.633787,True,other
horse,horse,-10.016925,True,other
automobile,automobile,-8.438608,True,other
cat,cat,-9.355264,True,other
frog,frog,-9.056965,True,other
frog,frog,-10.744398,True,other
ship,ship,-10.141621,True,other
truck,truck,-6.9838552,True,other
horse,horse,-9.857226,True,other
dog,dog,-7.8347487,True,other
deer,deer,-8.292919,True,other
airplane,airplane,-8.244229,True,other
ship,ship,-8.717494,True,other
deer,deer,-7.052756,True,other
airplane,airplane,-9.181104,True,other
truck,truck,-10.213331,True,other
cat,cat,-9.417409,True,other
deer,deer,-10.405169,True,other
ship,ship,-9.666966,True,other
truck,truck,-9.716742,True,other
frog,frog,-9.474519,True,other
truck,truck,-9.023487,True,other
bird,bird,-9.100962,True,other
frog,frog,-8.825458,True,other
automobile,automobile,-9.953365,True,other
deer,deer,-9.67565,True,other
horse,horse,-9.781905,True,other
cat,cat,-7.231032,True,other
dog,dog,-4.000218,False,other
cat,cat,-8.789472,True,other
ship,ship,-10.248719,True,other
dog,dog,-9.365788,True,other
airplane,airplane,-10.701133,True,other
bird,bird,-10.108639,True,other
automobile,automobile,-9.369902,True,other
frog,frog,-8.239853,True,other
deer,deer,-9.241858,True,other
cat,dog,-5.2730365,False,other
cat,cat,-9.630383,True,other
truck,truck,-9.552536,True,other
frog,frog,-10.471136,True,other
truck,truck,-8.877367,True,other
ship,ship,-9.371944,True,other
ship,ship,-9.925899,True,other
dog,dog,-9.481877,True,other
ship,ship,-8.253727,True,other
frog,frog,-7.9536943,True,other
frog,frog,-9.256836,True,other
bird,bird,-7.308931,True,other
automobile,automobile,-8.95032,True,other
horse,horse,-7.8741417,True,other
horse,horse,-7.2701025,True,other
automobile,automobile,-9.65547,True,other
bird,bird,-5.6759157,False,other
horse,horse,-8.789076,True,other
truck,truck,-10.031197,True,other
truck,truck,-9.555106,True,other
deer,deer,-9.27194,True,other
deer,deer,-8.759206,True,other
automobile,automobile,-10.579487,True,other
bird,bird,-10.162209,True,other
dog,dog,-9.399278,True,other
frog,frog,-8.400541,True,other
ship,ship,-8.694786,True,other
horse,horse,-9.758567,True,other
frog,frog,-9.738748,True,other
ship,ship,-10.084639,True,other
cat,cat,-4.1377177,False,other
airplane,airplane,-9.7716055,True,other
dog,dog,-7.0405345,True,other
dog,cat,-6.6802945,True,other
cat,cat,-9.418208,True,other
airplane,airplane,-9.560563,True,other
horse,horse,-9.261993,True,other
truck,truck,-9.307453,True,other
automobile,automobile,-8.09576,True,other
cat,cat,-9.439933,True,other
deer,deer,-9.868055,True,other
deer,deer,-9.263878,True,other
dog,dog,-10.211159,True,other
cat,cat,-8.72281,True,other
truck,truck,-9.593769,True,other
dog,dog,-10.730167,True,other
frog,frog,-10.874208,True,other
truck,truck,-10.861726,True,other
bird,bird,-9.372379,True,other
automobile,automobile,-9.821293,True,other
automobile,automobile,-10.639042,True,other
deer,deer,-9.523791,True,other
automobile,automobile,-8.913734,True,other
truck,truck,-9.800807,True,other
deer,deer,-8.619755,True,other
horse,horse,-9.919362,True,other
frog,frog,-7.101847,True,other
cat,cat,-9.107389,True,other
ship,airplane,-10.370433,True,other
truck,truck,-10.143288,True,other
airplane,airplane,-9.453212,True,other
automobile,automobile,-9.257563,True,other
cat,cat,-8.916193,True,other
frog,frog,-9.03825,True,other
cat,cat,-8.485309,True,other
frog,bird,-2.2568011,False,other
cat,cat,-8.610376,True,other
bird,bird,-9.857164,True,other
airplane,airplane,-6.221347,True,other
cat,cat,-8.463016,True,other
automobile,automobile,-9.402377,True,other
airplane,airplane,-7.1451764,True,other
dog,dog,-10.087254,True,other
truck,automobile,-6.9524665,True,other
frog,frog,-10.07066,True,other
deer,deer,-7.4013414,True,other
ship,airplane,-6.4557285,True,other
truck,truck,-10.057186,True,other
frog,frog,-5.6545434,False,other
truck,truck,-9.624451,True,other
frog,frog,-9.39664,True,other
cat,cat,-8.886439,True,other
airplane,airplane,-4.330159,False,other
cat,cat,-8.408593,True,other
bird,bird,-6.646556,True,other
bird,bird,-9.195343,True,other
horse,horse,-9.89639,True,other
ship,ship,-8.837166,True,other
cat,cat,-9.725379,True,other
ship,ship,-10.047719,True,other
bird,bird,-8.170385,True,other
horse,horse,-9.474571,True,other
dog,dog,-7.824183,True,other
horse,horse,-9.645496,True,other
bird,bird,-8.543244,True,other
deer,deer,-8.5925865,True,other
ship,ship,-10.564417,True,other
horse,horse,-9.594899,True,other
deer,deer,-9.926228,True,other
bird,bird,-8.940838,True,other
truck,truck,-10.7216835,True,other
ship,ship,-10.084412,True,other
ship,ship,-8.38659,True,other
frog,frog,-7.0300584,True,other
ship,ship,-7.8632164,True,other
ship,ship,-9.339506,True,other
horse,horse,-11.2467165,True,other
deer,deer,-9.699537,True,other
cat,cat,-6.890125,True,other
cat,cat,-9.869761,True,other
ship,ship,-7.144594,True,other
deer,deer,-10.292936,True,other
truck,truck,-9.97261,True,other
deer,deer,-9.267506,True,other
ship,ship,-9.085771,True,other
ship,ship,-10.23835,True,other
automobile,automobile,-9.321999,True,other
ship,ship,-9.625069,True,other
bird,ship,-3.3419151,False,other
automobile,automobile,-10.040043,True,other
cat,bird,-6.7740726,True,other
frog,frog,-7.4341483,True,other
dog,dog,-9.767905,True,other
deer,deer,-7.0896873,True,other
bird,bird,-9.110632,True,other
horse,horse,-8.801552,True,other
truck,truck,-7.7619843,True,other
truck,automobile,-7.4507284,True,other
deer,deer,-9.173644,True,other
automobile,automobile,-9.290522,True,other
deer,deer,-8.512813,True,other
automobile,automobile,-9.864293,True,other
cat,dog,-7.694769,True,other
bird,bird,-6.935173,True,other
horse,horse,-11.043021,True,other
airplane,airplane,-10.595899,True,other
horse,horse,-9.266532,True,other
truck,truck,-10.154349,True,other
horse,horse,-10.471013,True,other
frog,frog,-10.158505,True,other
frog,frog,-10.114711,True,other
bird,bird,-9.509972,True,other
dog,dog,-11.10957,True,other
truck,truck,-9.061537,True,other
bird,bird,-7.390971,True,other
truck,truck,-10.655608,True,other
automobile,automobile,-9.280837,True,other
bird,bird,-7.7428083,True,other
bird,bird,-10.367054,True,other
frog,frog,-8.549078,True,other
ship,ship,-8.881315,True,other
bird,bird,-10.166393,True,other
automobile,automobile,-9.717548,True,other
cat,dog,-7.2082186,True,other
frog,frog,-9.425429,True,other
frog,frog,-11.378157,True,other
airplane,airplane,-10.833539,True,other
automobile,automobile,-8.718543,True,other
bird,bird,-8.764088,True,other
horse,horse,-9.905812,True,other
airplane,airplane,-7.1903434,True,other
dog,dog,-11.184394,True,other
deer,deer,-9.467941,True,other
frog,cat,-5.0666175,False,other
automobile,automobile,-5.410165,False,other
frog,frog,-10.53471,True,other
deer,deer,-8.203403,True,other
airplane,airplane,-9.652209,True,other
bird,bird,-4.645073,False,other
bird,dog,-6.5342655,True,other
frog,frog,-9.062149,True,other
airplane,airplane,-9.118968,True,other
dog,dog,-7.571159,True,other
truck,truck,-9.183405,True,other
automobile,automobile,-10.943539,True,other
horse,horse,-10.580384,True,other
frog,frog,-9.484638,True,other
horse,horse,-9.215907,True,other
airplane,airplane,-10.467418,True,other
cat,cat,-7.169561,True,other
truck,truck,-8.29063,True,other
frog,frog,-9.212629,True,other
ship,ship,-8.33279,True,other
cat,cat,-6.8696585,True,other
airplane,airplane,-11.957893,True,other
cat,dog,-6.646864,True,other
deer,dog,-6.0616603,True,other
horse,horse,-10.224753,True,other
horse,horse,-8.099838,True,other
automobile,deer,-2.9938195,False,other
deer,deer,-10.813659,True,other
horse,horse,-8.464331,True,other
bird,bird,-8.321645,True,other
horse,horse,-9.793272,True,other
automobile,automobile,-9.702724,True,other
deer,deer,-9.690916,True,other
horse,horse,-10.387513,True,other
deer,deer,-8.726281,True,other
deer,deer,-7.4536686,True,other
ship,ship,-10.114229,True,other
deer,deer,-9.479119,True,other
horse,horse,-8.328397,True,other
horse,horse,-7.468608,True,other
dog,bird,-6.3982034,True,other
cat,dog,-8.6871195,True,other
horse,horse,-9.98064,True,other
bird,bird,-7.417568,True,other
airplane,airplane,-7.785794,True,other
ship,ship,-9.9137335,True,other
truck,truck,-9.138252,True,other
dog,dog,-8.22218,True,other
ship,ship,-7.700497,True,other
cat,cat,-11.060457,True,other
frog,frog,-11.601763,True,other
bird,bird,-9.123539,True,other
airplane,airplane,-10.036996,True,other
ship,ship,-9.587078,True,other
horse,horse,-9.694635,True,other
cat,cat,-9.653394,True,other
horse,horse,-11.318633,True,other
frog,frog,-9.91466,True,other
dog,dog,-9.247737,True,other
cat,cat,-10.66999,True,other
automobile,automobile,-9.036345,True,other
cat,cat,-6.633243,True,other
bird,bird,-9.371421,True,other
bird,bird,-8.587524,True,other
dog,dog,-10.567941,True,other
deer,deer,-5.557983,False,other
automobile,automobile,-6.032816,True,other
bird,bird,-9.424589,True,other
truck,truck,-9.561544,True,other
bird,bird,-7.998144,True,other
horse,horse,-9.210186,True,other
airplane,airplane,-9.088386,True,other
horse,horse,-9.588309,True,other
bird,bird,-7.4680676,True,other
automobile,automobile,-8.672411,True,other
cat,cat,-5.984213,True,other
